,feature,icc_value,c_down,c_up,sequence
0,original_shape_Elongation,0.98,0.98,0.99,t2w
1,original_shape_Elongation,0.98,0.98,0.99,adc
2,original_shape_Flatness,0.99,0.98,0.99,adc
3,original_shape_Flatness,0.99,0.98,0.99,t2w
4,original_shape_LeastAxisLength,1.0,1.0,1.0,adc
5,original_shape_LeastAxisLength,1.0,1.0,1.0,t2w
6,original_shape_MajorAxisLength,0.99,0.99,1.0,adc
7,original_shape_MajorAxisLength,0.99,0.99,1.0,t2w
8,original_shape_Maximum2DDiameterColumn,0.98,0.97,0.98,adc
9,original_shape_Maximum2DDiameterColumn,0.98,0.98,0.99,t2w
10,original_shape_Maximum2DDiameterRow,0.99,0.99,0.99,adc
11,original_shape_Maximum2DDiameterRow,0.99,0.98,0.99,t2w
12,original_shape_Maximum2DDiameterSlice,0.98,0.97,0.98,t2w
13,original_shape_Maximum2DDiameterSlice,0.97,0.97,0.98,adc
14,original_shape_Maximum3DDiameter,0.98,0.97,0.98,t2w
15,original_shape_Maximum3DDiameter,0.98,0.98,0.99,adc
16,original_shape_MeshVolume,1.0,1.0,1.0,t2w
17,original_shape_MeshVolume,1.0,1.0,1.0,adc
18,original_shape_MinorAxisLength,1.0,1.0,1.0,t2w
19,original_shape_MinorAxisLength,1.0,1.0,1.0,adc
20,original_shape_Sphericity,0.8,0.75,0.85,t2w
21,original_shape_Sphericity,0.84,0.8,0.88,adc
22,original_shape_SurfaceArea,0.99,0.99,1.0,t2w
23,original_shape_SurfaceArea,1.0,0.99,1.0,adc
24,original_shape_SurfaceVolumeRatio,0.98,0.98,0.99,t2w
25,original_shape_SurfaceVolumeRatio,0.98,0.98,0.99,adc
26,original_shape_VoxelVolume,1.0,1.0,1.0,t2w
27,original_shape_VoxelVolume,1.0,1.0,1.0,adc
28,original_firstorder_10Percentile,1.0,1.0,1.0,t2w
29,original_firstorder_10Percentile,0.99,0.99,1.0,adc
30,original_firstorder_90Percentile,1.0,1.0,1.0,t2w
31,original_firstorder_90Percentile,1.0,1.0,1.0,adc
32,original_firstorder_Energy,1.0,1.0,1.0,t2w
33,original_firstorder_Energy,1.0,1.0,1.0,adc
34,original_firstorder_Entropy,1.0,1.0,1.0,t2w
35,original_firstorder_InterquartileRange,1.0,1.0,1.0,t2w
36,original_firstorder_Entropy,0.99,0.99,0.99,adc
37,original_firstorder_Kurtosis,0.43,0.36,0.51,t2w
38,original_firstorder_InterquartileRange,1.0,1.0,1.0,adc
39,original_firstorder_Maximum,0.82,0.78,0.86,t2w
40,original_firstorder_Kurtosis,0.97,0.96,0.98,adc
41,original_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,t2w
42,original_firstorder_Maximum,0.98,0.97,0.98,adc
43,original_firstorder_Mean,1.0,1.0,1.0,t2w
44,original_firstorder_MeanAbsoluteDeviation,0.99,0.99,1.0,adc
45,original_firstorder_Median,1.0,1.0,1.0,t2w
46,original_firstorder_Mean,1.0,1.0,1.0,adc
47,original_firstorder_Minimum,0.98,0.98,0.99,t2w
48,original_firstorder_Median,1.0,1.0,1.0,adc
49,original_firstorder_Range,0.82,0.78,0.86,t2w
50,original_firstorder_Minimum,0.8,0.75,0.84,adc
51,original_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
52,original_firstorder_Range,0.94,0.92,0.96,adc
53,original_firstorder_RootMeanSquared,1.0,1.0,1.0,t2w
54,original_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,adc
55,original_firstorder_Skewness,0.84,0.8,0.88,t2w
56,original_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
57,original_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
58,original_firstorder_Skewness,0.98,0.97,0.98,adc
59,original_firstorder_Uniformity,1.0,1.0,1.0,t2w
60,original_firstorder_TotalEnergy,1.0,1.0,1.0,adc
61,original_firstorder_Variance,1.0,1.0,1.0,t2w
62,original_firstorder_Uniformity,1.0,0.99,1.0,adc
63,original_glcm_Autocorrelation,0.98,0.97,0.98,t2w
64,original_firstorder_Variance,0.99,0.99,0.99,adc
65,original_glcm_ClusterProminence,0.63,0.56,0.7,t2w
66,original_glcm_Autocorrelation,0.89,0.86,0.91,adc
67,original_glcm_ClusterShade,0.97,0.96,0.97,t2w
68,original_glcm_ClusterTendency,1.0,1.0,1.0,t2w
69,original_glcm_ClusterProminence,0.99,0.99,0.99,adc
70,original_glcm_Contrast,1.0,1.0,1.0,t2w
71,original_glcm_ClusterShade,0.99,0.99,0.99,adc
72,original_glcm_Correlation,1.0,0.99,1.0,t2w
73,original_glcm_ClusterTendency,0.99,0.99,1.0,adc
74,original_glcm_DifferenceAverage,1.0,1.0,1.0,t2w
75,original_glcm_Contrast,0.99,0.99,0.99,adc
76,original_glcm_DifferenceEntropy,1.0,1.0,1.0,t2w
77,original_glcm_Correlation,0.99,0.99,0.99,adc
78,original_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
79,original_glcm_DifferenceAverage,1.0,0.99,1.0,adc
80,original_glcm_Id,1.0,1.0,1.0,t2w
81,original_glcm_DifferenceEntropy,0.99,0.99,1.0,adc
82,original_glcm_Idm,1.0,1.0,1.0,t2w
83,original_glcm_DifferenceVariance,0.99,0.98,0.99,adc
84,original_glcm_Idmn,0.96,0.94,0.97,t2w
85,original_glcm_Id,1.0,1.0,1.0,adc
86,original_glcm_Idn,0.95,0.94,0.96,t2w
87,original_glcm_Idm,1.0,1.0,1.0,adc
88,original_glcm_Imc1,1.0,1.0,1.0,t2w
89,original_glcm_Idmn,0.95,0.93,0.96,adc
90,original_glcm_Imc2,0.99,0.99,1.0,t2w
