,feature,icc_value,c_down,c_up,sequence
0,original_shape_Elongation,0.98,0.97,0.99,adc
1,original_shape_Elongation,0.97,0.95,0.99,dce
2,original_shape_Flatness,0.98,0.97,0.99,dce
3,original_shape_Flatness,0.99,0.98,1.0,adc
4,original_shape_LeastAxisLength,0.98,0.96,0.99,dce
5,original_shape_LeastAxisLength,0.99,0.98,1.0,adc
6,original_shape_MajorAxisLength,0.98,0.96,0.99,adc
7,original_shape_MajorAxisLength,0.98,0.97,0.99,dce
8,original_shape_Maximum2DDiameterColumn,0.96,0.93,0.99,adc
9,original_shape_Maximum2DDiameterColumn,0.97,0.94,0.99,dce
10,original_shape_Maximum2DDiameterRow,0.99,0.98,0.99,adc
11,original_shape_Maximum2DDiameterSlice,0.97,0.95,0.99,adc
12,original_shape_Maximum2DDiameterRow,0.99,0.98,1.0,dce
13,original_shape_Maximum3DDiameter,0.97,0.94,0.99,adc
14,original_shape_Maximum2DDiameterSlice,0.97,0.94,0.99,dce
15,original_shape_MeshVolume,0.99,0.98,1.0,adc
16,original_shape_Maximum3DDiameter,0.97,0.95,0.99,dce
17,original_shape_MinorAxisLength,0.99,0.98,0.99,adc
18,original_shape_MeshVolume,0.98,0.97,0.99,dce
19,original_shape_Sphericity,0.91,0.84,0.96,adc
20,original_shape_MinorAxisLength,0.99,0.98,1.0,dce
21,original_shape_SurfaceArea,0.98,0.97,0.99,adc
22,original_shape_Sphericity,0.9,0.83,0.96,dce
23,original_shape_SurfaceVolumeRatio,0.98,0.97,0.99,adc
24,original_shape_SurfaceArea,0.98,0.97,0.99,dce
25,original_shape_VoxelVolume,0.99,0.98,1.0,adc
26,original_shape_SurfaceVolumeRatio,0.97,0.94,0.99,dce
27,original_firstorder_10Percentile,1.0,0.99,1.0,adc
28,original_shape_VoxelVolume,0.98,0.97,0.99,dce
29,original_firstorder_90Percentile,1.0,1.0,1.0,adc
30,original_firstorder_Energy,0.99,0.99,1.0,adc
31,original_firstorder_10Percentile,0.96,0.93,0.98,dce
32,original_firstorder_Entropy,0.96,0.93,0.98,adc
33,original_firstorder_90Percentile,1.0,0.99,1.0,dce
34,original_firstorder_InterquartileRange,0.98,0.97,0.99,adc
35,original_firstorder_Energy,0.98,0.97,0.99,dce
36,original_firstorder_Kurtosis,0.96,0.92,0.98,adc
37,original_firstorder_Entropy,1.0,1.0,1.0,dce
38,original_firstorder_Maximum,0.99,0.97,0.99,adc
39,original_firstorder_InterquartileRange,0.99,0.99,1.0,dce
40,original_firstorder_MeanAbsoluteDeviation,0.97,0.95,0.99,adc
41,original_firstorder_Mean,1.0,1.0,1.0,adc
42,original_firstorder_Kurtosis,0.5,0.33,0.72,dce
43,original_firstorder_Median,1.0,1.0,1.0,adc
44,original_firstorder_Minimum,0.68,0.52,0.84,adc
45,original_firstorder_Maximum,0.77,0.62,0.89,dce
46,original_firstorder_MeanAbsoluteDeviation,0.99,0.99,1.0,dce
47,original_firstorder_Range,0.84,0.73,0.93,adc
48,original_firstorder_RobustMeanAbsoluteDeviation,0.98,0.96,0.99,adc
49,original_firstorder_Mean,1.0,0.99,1.0,dce
50,original_firstorder_Median,1.0,0.99,1.0,dce
51,original_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
52,original_firstorder_Minimum,0.78,0.64,0.9,dce
53,original_firstorder_Skewness,0.97,0.94,0.99,adc
54,original_firstorder_Range,0.77,0.63,0.89,dce
55,original_firstorder_TotalEnergy,0.99,0.99,1.0,adc
56,original_firstorder_Uniformity,0.98,0.96,0.99,adc
57,original_firstorder_RobustMeanAbsoluteDeviation,0.99,0.99,1.0,dce
58,original_firstorder_Variance,0.96,0.92,0.98,adc
59,original_firstorder_RootMeanSquared,1.0,0.99,1.0,dce
60,original_glcm_Autocorrelation,0.78,0.64,0.9,adc
61,original_glcm_ClusterProminence,0.96,0.92,0.98,adc
62,original_firstorder_Skewness,0.7,0.54,0.86,dce
63,original_glcm_ClusterShade,0.98,0.97,0.99,adc
64,original_firstorder_TotalEnergy,0.98,0.97,0.99,dce
65,original_glcm_ClusterTendency,0.98,0.95,0.99,adc
66,original_firstorder_Uniformity,1.0,1.0,1.0,dce
67,original_glcm_Contrast,0.91,0.84,0.96,adc
68,original_firstorder_Variance,0.99,0.98,1.0,dce
69,original_glcm_Correlation,0.97,0.95,0.99,adc
70,original_glcm_Autocorrelation,0.98,0.96,0.99,dce
