,feature,icc_value,c_down,c_up,sequence
0,original_shape_Elongation,0.92,0.86,0.97,adc
1,original_shape_Elongation,0.75,0.61,0.89,dce
2,original_shape_Flatness,0.97,0.94,0.99,adc
3,original_shape_Flatness,0.97,0.94,0.99,dce
4,original_shape_LeastAxisLength,0.99,0.98,0.99,adc
5,original_shape_LeastAxisLength,0.99,0.99,1.0,dce
6,original_shape_MajorAxisLength,0.99,0.97,0.99,adc
7,original_shape_MajorAxisLength,0.98,0.96,0.99,dce
8,original_shape_Maximum2DDiameterColumn,0.98,0.95,0.99,adc
9,original_shape_Maximum2DDiameterColumn,0.95,0.9,0.98,dce
10,original_shape_Maximum2DDiameterRow,0.98,0.96,0.99,adc
11,original_shape_Maximum2DDiameterRow,0.95,0.9,0.98,dce
12,original_shape_Maximum2DDiameterSlice,0.99,0.98,0.99,adc
13,original_shape_Maximum2DDiameterSlice,0.98,0.96,0.99,dce
14,original_shape_Maximum3DDiameter,0.98,0.97,0.99,adc
15,original_shape_Maximum3DDiameter,0.98,0.96,0.99,dce
16,original_shape_MeshVolume,1.0,0.99,1.0,dce
17,original_shape_MeshVolume,1.0,0.99,1.0,adc
18,original_shape_MinorAxisLength,0.95,0.91,0.98,dce
19,original_shape_MinorAxisLength,0.99,0.97,0.99,adc
20,original_shape_Sphericity,0.84,0.73,0.93,dce
21,original_shape_Sphericity,0.81,0.69,0.92,adc
22,original_shape_SurfaceArea,0.99,0.98,1.0,dce
23,original_shape_SurfaceArea,0.99,0.98,1.0,adc
24,original_shape_SurfaceVolumeRatio,0.99,0.97,0.99,adc
25,original_shape_SurfaceVolumeRatio,0.97,0.94,0.99,dce
26,original_shape_VoxelVolume,1.0,0.99,1.0,adc
27,original_shape_VoxelVolume,1.0,0.99,1.0,dce
28,original_firstorder_10Percentile,1.0,1.0,1.0,adc
29,original_firstorder_10Percentile,0.98,0.96,0.99,dce
30,original_firstorder_90Percentile,1.0,1.0,1.0,adc
31,original_firstorder_90Percentile,1.0,1.0,1.0,dce
32,original_firstorder_Energy,1.0,0.99,1.0,adc
33,original_firstorder_Energy,0.99,0.99,1.0,dce
34,original_firstorder_Entropy,0.99,0.98,1.0,adc
35,original_firstorder_Entropy,1.0,1.0,1.0,dce
36,original_firstorder_InterquartileRange,0.99,0.99,1.0,adc
37,original_firstorder_InterquartileRange,1.0,1.0,1.0,dce
38,original_firstorder_Kurtosis,0.86,0.77,0.94,adc
39,original_firstorder_Kurtosis,0.51,0.34,0.73,dce
40,original_firstorder_Maximum,0.97,0.95,0.99,adc
41,original_firstorder_Maximum,0.83,0.71,0.92,dce
42,original_firstorder_MeanAbsoluteDeviation,0.99,0.99,1.0,adc
43,original_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,dce
44,original_firstorder_Mean,1.0,1.0,1.0,adc
45,original_firstorder_Mean,1.0,1.0,1.0,dce
46,original_firstorder_Median,1.0,1.0,1.0,adc
47,original_firstorder_Median,1.0,1.0,1.0,dce
48,original_firstorder_Minimum,0.72,0.56,0.87,adc
49,original_firstorder_Minimum,0.85,0.74,0.93,dce
50,original_firstorder_Range,0.85,0.74,0.93,adc
51,original_firstorder_Range,0.83,0.72,0.93,dce
52,original_firstorder_RobustMeanAbsoluteDeviation,0.99,0.99,1.0,adc
53,original_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,dce
54,original_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
55,original_firstorder_RootMeanSquared,1.0,1.0,1.0,dce
56,original_firstorder_Skewness,0.95,0.9,0.98,adc
57,original_firstorder_Skewness,0.74,0.6,0.88,dce
58,original_firstorder_TotalEnergy,0.99,0.99,1.0,dce
59,original_firstorder_TotalEnergy,1.0,0.99,1.0,adc
60,original_firstorder_Uniformity,1.0,1.0,1.0,dce
61,original_firstorder_Uniformity,0.99,0.99,1.0,adc
62,original_firstorder_Variance,1.0,0.99,1.0,dce
63,original_firstorder_Variance,0.99,0.98,1.0,adc
64,original_glcm_Autocorrelation,0.8,0.67,0.91,adc
65,original_glcm_Autocorrelation,0.99,0.99,1.0,dce
66,original_glcm_ClusterProminence,0.96,0.93,0.98,adc
67,original_glcm_ClusterProminence,0.91,0.84,0.96,dce
68,original_glcm_ClusterShade,0.96,0.93,0.99,adc
69,original_glcm_ClusterShade,0.96,0.93,0.98,dce
70,original_glcm_ClusterTendency,0.99,0.98,1.0,adc
71,original_glcm_ClusterTendency,1.0,0.99,1.0,dce
72,original_glcm_Contrast,0.97,0.94,0.99,adc
73,original_glcm_Contrast,0.98,0.96,0.99,dce
74,original_glcm_Correlation,0.95,0.91,0.98,dce
75,original_glcm_Correlation,0.99,0.98,1.0,adc
76,original_glcm_DifferenceAverage,0.99,0.99,1.0,dce
77,original_glcm_DifferenceAverage,0.99,0.97,0.99,adc
78,original_glcm_DifferenceEntropy,1.0,1.0,1.0,dce
79,original_glcm_DifferenceEntropy,0.98,0.97,0.99,adc
80,original_glcm_DifferenceVariance,0.96,0.93,0.99,dce
81,original_glcm_DifferenceVariance,0.94,0.89,0.98,adc
82,original_glcm_Id,1.0,1.0,1.0,dce
83,original_glcm_Id,0.99,0.99,1.0,adc
84,original_glcm_Idm,1.0,1.0,1.0,dce
85,original_glcm_Idm,0.99,0.99,1.0,adc
86,original_glcm_Idmn,0.9,0.83,0.96,dce
87,original_glcm_Idmn,0.85,0.75,0.94,adc
88,original_glcm_Idn,0.84,0.73,0.93,adc
89,original_glcm_Idn,0.94,0.89,0.98,dce
90,original_glcm_Imc1,0.99,0.99,1.0,adc
91,original_glcm_Imc1,0.98,0.96,0.99,dce
92,original_glcm_Imc2,1.0,0.99,1.0,dce
93,original_glcm_Imc2,0.99,0.99,1.0,adc
94,original_glcm_InverseVariance,1.0,1.0,1.0,dce
95,original_glcm_InverseVariance,0.99,0.99,1.0,adc
96,original_glcm_JointAverage,0.99,0.98,1.0,dce
97,original_glcm_JointAverage,0.79,0.66,0.9,adc
98,original_glcm_JointEnergy,1.0,0.99,1.0,dce
99,original_glcm_JointEnergy,1.0,0.99,1.0,adc
100,original_glcm_JointEntropy,1.0,1.0,1.0,dce
101,original_glcm_JointEntropy,0.99,0.98,1.0,adc
102,original_glcm_MCC,0.89,0.81,0.95,dce
103,original_glcm_MCC,0.95,0.9,0.98,adc
104,original_glcm_MaximumProbability,1.0,0.99,1.0,dce
105,original_glcm_MaximumProbability,1.0,0.99,1.0,adc
106,original_glcm_SumAverage,0.99,0.98,1.0,dce
107,original_glcm_SumAverage,0.79,0.66,0.9,adc
108,original_glcm_SumEntropy,1.0,1.0,1.0,dce
109,original_glcm_SumEntropy,0.99,0.99,1.0,adc
110,original_glcm_SumSquares,1.0,0.99,1.0,dce
111,original_glcm_SumSquares,0.99,0.98,1.0,adc
112,original_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
113,original_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
114,original_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
115,original_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,1.0,adc
116,original_glrlm_GrayLevelVariance,0.99,0.99,1.0,dce
117,original_glrlm_GrayLevelVariance,0.99,0.97,0.99,adc
118,original_glrlm_HighGrayLevelRunEmphasis,0.99,0.98,1.0,dce
119,original_glrlm_HighGrayLevelRunEmphasis,0.8,0.67,0.91,adc
120,original_glrlm_LongRunEmphasis,1.0,0.99,1.0,dce
121,original_glrlm_LongRunEmphasis,0.99,0.99,1.0,adc
122,original_glrlm_LongRunHighGrayLevelEmphasis,0.99,0.98,1.0,dce
123,original_glrlm_LongRunHighGrayLevelEmphasis,0.79,0.66,0.91,adc
124,original_glrlm_LongRunLowGrayLevelEmphasis,0.98,0.97,0.99,dce
125,original_glrlm_LongRunLowGrayLevelEmphasis,0.9,0.83,0.96,adc
126,original_glrlm_LowGrayLevelRunEmphasis,0.95,0.91,0.98,dce
127,original_glrlm_LowGrayLevelRunEmphasis,0.9,0.82,0.96,adc
128,original_glrlm_RunEntropy,0.99,0.98,1.0,adc
129,original_glrlm_RunEntropy,1.0,1.0,1.0,dce
130,original_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,adc
131,original_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,dce
132,original_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,1.0,adc
133,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,dce
134,original_glrlm_RunPercentage,0.99,0.99,1.0,adc
135,original_glrlm_RunPercentage,1.0,1.0,1.0,dce
136,original_glrlm_RunVariance,0.99,0.99,1.0,adc
137,original_glrlm_RunVariance,0.99,0.99,1.0,dce
138,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,dce
