,feature,icc_value,c_down,c_up,sequence
0,original_shape_Elongation,0.93,0.86,0.97,adc
1,original_shape_Elongation,0.82,0.7,0.92,dce
2,original_shape_Flatness,0.97,0.95,0.99,adc
3,original_shape_Flatness,0.99,0.98,0.99,dce
4,original_shape_LeastAxisLength,0.99,0.98,1.0,adc
5,original_shape_LeastAxisLength,1.0,1.0,1.0,dce
6,original_shape_MajorAxisLength,0.99,0.98,1.0,adc
7,original_shape_MajorAxisLength,0.99,0.98,1.0,dce
8,original_shape_Maximum2DDiameterColumn,0.99,0.98,1.0,adc
9,original_shape_Maximum2DDiameterColumn,0.98,0.97,0.99,dce
10,original_shape_Maximum2DDiameterRow,0.99,0.98,1.0,adc
11,original_shape_Maximum2DDiameterSlice,1.0,1.0,1.0,adc
12,original_shape_Maximum2DDiameterRow,0.96,0.93,0.98,dce
13,original_shape_Maximum3DDiameter,0.99,0.99,1.0,adc
14,original_shape_Maximum2DDiameterSlice,1.0,1.0,1.0,dce
15,original_shape_MeshVolume,0.99,0.99,1.0,adc
16,original_shape_Maximum3DDiameter,0.99,0.99,1.0,dce
17,original_shape_MinorAxisLength,0.99,0.97,0.99,adc
18,original_shape_MeshVolume,1.0,1.0,1.0,dce
19,original_shape_Sphericity,0.92,0.86,0.97,adc
20,original_shape_MinorAxisLength,0.96,0.92,0.98,dce
21,original_shape_SurfaceArea,0.99,0.98,1.0,adc
22,original_shape_Sphericity,0.93,0.87,0.97,dce
23,original_shape_SurfaceVolumeRatio,1.0,0.99,1.0,adc
24,original_shape_SurfaceArea,0.99,0.99,1.0,dce
25,original_shape_VoxelVolume,0.99,0.99,1.0,adc
26,original_shape_SurfaceVolumeRatio,1.0,0.99,1.0,dce
27,original_firstorder_10Percentile,1.0,1.0,1.0,adc
28,original_shape_VoxelVolume,1.0,1.0,1.0,dce
29,original_firstorder_90Percentile,1.0,1.0,1.0,adc
30,original_firstorder_10Percentile,0.99,0.99,1.0,dce
31,original_firstorder_Energy,1.0,0.99,1.0,adc
32,original_firstorder_90Percentile,1.0,1.0,1.0,dce
33,original_firstorder_Entropy,0.99,0.99,1.0,adc
34,original_firstorder_Energy,1.0,0.99,1.0,dce
35,original_firstorder_Entropy,1.0,1.0,1.0,dce
36,original_firstorder_InterquartileRange,1.0,0.99,1.0,adc
37,original_firstorder_InterquartileRange,1.0,1.0,1.0,dce
38,original_firstorder_Kurtosis,0.84,0.73,0.93,adc
39,original_firstorder_Maximum,0.96,0.92,0.98,adc
40,original_firstorder_Kurtosis,1.0,1.0,1.0,dce
41,original_firstorder_MeanAbsoluteDeviation,0.99,0.99,1.0,adc
42,original_firstorder_Maximum,1.0,1.0,1.0,dce
43,original_firstorder_Mean,1.0,1.0,1.0,adc
44,original_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,dce
45,original_firstorder_Median,1.0,1.0,1.0,adc
46,original_firstorder_Mean,1.0,1.0,1.0,dce
47,original_firstorder_Minimum,0.89,0.8,0.95,adc
48,original_firstorder_Range,0.91,0.84,0.96,adc
49,original_firstorder_Median,1.0,1.0,1.0,dce
50,original_firstorder_Minimum,0.98,0.97,0.99,dce
51,original_firstorder_RobustMeanAbsoluteDeviation,1.0,0.99,1.0,adc
52,original_firstorder_Range,1.0,1.0,1.0,dce
53,original_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
54,original_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,dce
55,original_firstorder_Skewness,0.95,0.91,0.98,adc
56,original_firstorder_RootMeanSquared,1.0,1.0,1.0,dce
57,original_firstorder_TotalEnergy,1.0,0.99,1.0,adc
58,original_firstorder_Skewness,1.0,1.0,1.0,dce
59,original_firstorder_Uniformity,1.0,0.99,1.0,adc
60,original_firstorder_TotalEnergy,1.0,0.99,1.0,dce
61,original_firstorder_Variance,0.99,0.98,1.0,adc
62,original_firstorder_Uniformity,1.0,1.0,1.0,dce
63,original_glcm_Autocorrelation,0.92,0.85,0.96,adc
64,original_glcm_ClusterProminence,0.97,0.94,0.99,adc
65,original_firstorder_Variance,1.0,1.0,1.0,dce
66,original_glcm_Autocorrelation,1.0,1.0,1.0,dce
67,original_glcm_ClusterShade,0.97,0.95,0.99,adc
68,original_glcm_ClusterProminence,1.0,1.0,1.0,dce
69,original_glcm_ClusterTendency,0.99,0.99,1.0,adc
70,original_glcm_Contrast,0.99,0.97,0.99,adc
71,original_glcm_ClusterShade,1.0,1.0,1.0,dce
72,original_glcm_Correlation,1.0,0.99,1.0,adc
73,original_glcm_ClusterTendency,1.0,1.0,1.0,dce
74,original_glcm_DifferenceAverage,0.99,0.99,1.0,adc
75,original_glcm_Contrast,1.0,1.0,1.0,dce
76,original_glcm_DifferenceEntropy,0.99,0.99,1.0,adc
77,original_glcm_Correlation,1.0,1.0,1.0,dce
78,original_glcm_DifferenceVariance,0.97,0.95,0.99,adc
79,original_glcm_DifferenceAverage,1.0,1.0,1.0,dce
80,original_glcm_DifferenceEntropy,1.0,1.0,1.0,dce
81,original_glcm_Id,1.0,0.99,1.0,adc
82,original_glcm_Idm,1.0,0.99,1.0,adc
83,original_glcm_DifferenceVariance,1.0,1.0,1.0,dce
84,original_glcm_Idmn,0.94,0.88,0.97,adc
85,original_glcm_Id,1.0,1.0,1.0,dce
86,original_glcm_Idn,0.92,0.86,0.97,adc
87,original_glcm_Idm,1.0,1.0,1.0,dce
88,original_glcm_Imc1,1.0,0.99,1.0,adc
89,original_glcm_Idmn,1.0,0.99,1.0,dce
90,original_glcm_Imc2,0.99,0.99,1.0,adc
91,original_glcm_Idn,1.0,1.0,1.0,dce
92,original_glcm_InverseVariance,1.0,0.99,1.0,adc
93,original_glcm_JointAverage,0.9,0.83,0.96,adc
94,original_glcm_Imc1,0.99,0.98,1.0,dce
95,original_glcm_JointEnergy,1.0,1.0,1.0,adc
96,original_glcm_Imc2,1.0,1.0,1.0,dce
97,original_glcm_JointEntropy,1.0,0.99,1.0,adc
98,original_glcm_InverseVariance,1.0,1.0,1.0,dce
99,original_glcm_MCC,0.99,0.97,0.99,adc
100,original_glcm_JointAverage,1.0,1.0,1.0,dce
101,original_glcm_MaximumProbability,1.0,1.0,1.0,adc
102,original_glcm_JointEnergy,1.0,1.0,1.0,dce
103,original_glcm_JointEntropy,1.0,1.0,1.0,dce
104,original_glcm_SumAverage,0.9,0.83,0.96,adc
105,original_glcm_SumEntropy,1.0,0.99,1.0,adc
106,original_glcm_MCC,1.0,0.99,1.0,dce
107,original_glcm_SumSquares,0.99,0.99,1.0,adc
108,original_glcm_MaximumProbability,1.0,1.0,1.0,dce
109,original_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
110,original_glcm_SumAverage,1.0,1.0,1.0,dce
111,original_glrlm_GrayLevelNonUniformityNormalized,1.0,0.99,1.0,adc
112,original_glrlm_GrayLevelVariance,0.99,0.98,1.0,adc
113,original_glcm_SumEntropy,1.0,1.0,1.0,dce
114,original_glrlm_HighGrayLevelRunEmphasis,0.91,0.85,0.96,adc
115,original_glcm_SumSquares,1.0,1.0,1.0,dce
116,original_glrlm_LongRunEmphasis,1.0,0.99,1.0,adc
117,original_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,dce
118,original_glrlm_LongRunHighGrayLevelEmphasis,0.91,0.84,0.96,adc
119,original_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
120,original_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.99,1.0,adc
121,original_glrlm_GrayLevelVariance,1.0,1.0,1.0,dce
122,original_glrlm_LowGrayLevelRunEmphasis,1.0,0.99,1.0,adc
123,original_glrlm_HighGrayLevelRunEmphasis,1.0,1.0,1.0,dce
124,original_glrlm_RunEntropy,0.99,0.99,1.0,adc
125,original_glrlm_LongRunEmphasis,1.0,1.0,1.0,dce
126,original_glrlm_RunLengthNonUniformity,0.99,0.99,1.0,adc
127,original_glrlm_LongRunHighGrayLevelEmphasis,1.0,1.0,1.0,dce
128,original_glrlm_RunLengthNonUniformityNormalized,1.0,0.99,1.0,adc
129,original_glrlm_LongRunLowGrayLevelEmphasis,1.0,1.0,1.0,dce
