feature,rank
sub_wout_original_glcm_ClusterProminence,83
adc_original_firstorder_Minimum,18
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,16
sub_wout_original_firstorder_Maximum,39
adc_original_glcm_ClusterShade,15
sub_wout_original_firstorder_Mean,84
sub_win_original_glcm_Autocorrelation,43
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,67
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,48
sub_wout_original_firstorder_10Percentile,71
adc_original_firstorder_10Percentile,44
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,38
sub_win_original_glcm_ClusterProminence,60
sub_wout_original_firstorder_Minimum,72
sub_wout_original_firstorder_Range,74
sub_wout_original_glcm_ClusterTendency,81
t2w_original_glszm_GrayLevelVariance,57
sub_wout_original_firstorder_RootMeanSquared,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,89
sub_wout_original_glcm_JointAverage,73
sub_win_original_firstorder_Mean,66
sub_wout_original_firstorder_Variance,87
sub_wout_original_firstorder_InterquartileRange,79
sub_win_original_glcm_Idmn,54
sub_win_original_glcm_ClusterShade,28
sub_wout_original_firstorder_Median,20
sub_wout_original_glcm_SumEntropy,76
sub_win_original_firstorder_10Percentile,63
adc_original_glszm_SmallAreaEmphasis,30
sub_wout_original_glszm_GrayLevelVariance,80
t2w_original_glcm_Idmn,7
sub_win_original_glszm_GrayLevelVariance,11
t2w_original_firstorder_Skewness,62
sub_wout_original_glcm_InverseVariance,41
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,82
t2w_original_firstorder_10Percentile,36
adc_original_firstorder_Maximum,47
sub_win_original_firstorder_Range,51
sub_wout_original_glcm_SumSquares,85
t2w_original_glcm_ClusterProminence,29
sub_wout_original_firstorder_90Percentile,65
t2w_original_glcm_SumEntropy,12
sub_wout_original_glszm_ZoneEntropy,8
adc_original_glcm_MaximumProbability,77
t2w_original_glrlm_GrayLevelVariance,64
t2w_original_glszm_ZoneEntropy,23
sub_win_original_glcm_SumSquares,68
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,31
sub_win_original_firstorder_90Percentile,50
t2w_original_glcm_ClusterShade,35
adc_original_glrlm_LongRunEmphasis,78
adc_original_firstorder_Mean,46
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,14
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,55
adc_original_glcm_Correlation,42
t2w_original_glcm_InverseVariance,17
sub_win_original_glcm_Id,56
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,34
sub_wout_original_glcm_DifferenceVariance,32
adc_original_glszm_ZoneEntropy,49
t2w_original_glrlm_RunEntropy,6
sub_wout_original_firstorder_Uniformity,4
t2w_original_firstorder_Median,40
adc_original_glszm_SizeZoneNonUniformityNormalized,10
sub_wout_original_glcm_Imc1,59
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,86
adc_original_glcm_ClusterProminence,52
adc_original_glcm_DifferenceVariance,70
t2w_original_firstorder_90Percentile,58
t2w_original_glszm_SmallAreaEmphasis,21
adc_original_glcm_JointEntropy,45
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,37
t2w_original_glcm_ClusterTendency,2
sub_win_original_glcm_SumEntropy,3
sub_wout_original_glszm_ZoneVariance,27
adc_original_glcm_Idmn,69
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,75
adc_original_firstorder_Kurtosis,26
t2w_original_glcm_MaximumProbability,33
sub_win_original_glszm_ZoneEntropy,22
t2w_original_glszm_SizeZoneNonUniformityNormalized,5
t2w_original_glcm_JointEntropy,25
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,9
sub_win_original_glszm_SizeZoneNonUniformityNormalized,13
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,53
sub_win_original_glcm_MaximumProbability,1
sub_win_original_glcm_Imc1,24
sub_wout_original_glcm_JointEntropy,19
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,61
