feature,rank
sub_wout_original_glcm_ClusterProminence,77
adc_original_firstorder_Minimum,19
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,70
sub_wout_original_firstorder_Maximum,84
adc_original_glcm_ClusterShade,16
sub_wout_original_firstorder_Mean,82
sub_win_original_glcm_Autocorrelation,42
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,32
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,56
sub_wout_original_firstorder_10Percentile,23
adc_original_firstorder_10Percentile,54
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,30
sub_win_original_glcm_ClusterProminence,38
sub_wout_original_firstorder_Minimum,61
sub_wout_original_firstorder_Range,73
sub_wout_original_glcm_ClusterTendency,76
t2w_original_glszm_GrayLevelVariance,28
sub_wout_original_firstorder_RootMeanSquared,87
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,63
sub_wout_original_glcm_JointAverage,62
sub_win_original_firstorder_Mean,21
sub_wout_original_firstorder_Variance,85
sub_wout_original_firstorder_InterquartileRange,88
sub_win_original_glcm_Idmn,59
sub_win_original_glcm_ClusterShade,64
sub_wout_original_firstorder_Median,65
sub_wout_original_glcm_SumEntropy,69
sub_win_original_firstorder_10Percentile,44
adc_original_glszm_SmallAreaEmphasis,47
sub_wout_original_glszm_GrayLevelVariance,43
t2w_original_glcm_Idmn,22
sub_win_original_glszm_GrayLevelVariance,9
t2w_original_firstorder_Skewness,27
sub_wout_original_glcm_InverseVariance,11
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,57
t2w_original_firstorder_10Percentile,20
adc_original_firstorder_Maximum,58
sub_win_original_firstorder_Range,55
sub_wout_original_glcm_SumSquares,79
t2w_original_glcm_ClusterProminence,86
sub_wout_original_firstorder_90Percentile,89
t2w_original_glcm_SumEntropy,83
sub_wout_original_glszm_ZoneEntropy,7
adc_original_glcm_MaximumProbability,75
t2w_original_glrlm_GrayLevelVariance,33
t2w_original_glszm_ZoneEntropy,71
sub_win_original_glcm_SumSquares,39
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,78
sub_win_original_firstorder_90Percentile,68
t2w_original_glcm_ClusterShade,60
adc_original_glrlm_LongRunEmphasis,41
adc_original_firstorder_Mean,67
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,46
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,80
adc_original_glcm_Correlation,29
t2w_original_glcm_InverseVariance,52
sub_win_original_glcm_Id,50
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,48
sub_wout_original_glcm_DifferenceVariance,36
adc_original_glszm_ZoneEntropy,53
t2w_original_glrlm_RunEntropy,8
sub_wout_original_firstorder_Uniformity,1
t2w_original_firstorder_Median,24
adc_original_glszm_SizeZoneNonUniformityNormalized,6
sub_wout_original_glcm_Imc1,45
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,66
adc_original_glcm_ClusterProminence,18
adc_original_glcm_DifferenceVariance,35
t2w_original_firstorder_90Percentile,40
t2w_original_glszm_SmallAreaEmphasis,72
adc_original_glcm_JointEntropy,81
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,31
t2w_original_glcm_ClusterTendency,15
sub_win_original_glcm_SumEntropy,12
sub_wout_original_glszm_ZoneVariance,5
adc_original_glcm_Idmn,37
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,74
adc_original_firstorder_Kurtosis,34
t2w_original_glcm_MaximumProbability,25
sub_win_original_glszm_ZoneEntropy,26
t2w_original_glszm_SizeZoneNonUniformityNormalized,3
t2w_original_glcm_JointEntropy,17
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,13
sub_win_original_glszm_SizeZoneNonUniformityNormalized,4
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,51
sub_win_original_glcm_MaximumProbability,14
sub_win_original_glcm_Imc1,49
sub_wout_original_glcm_JointEntropy,2
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,10
