feature,rank
sub_wout_original_glcm_ClusterProminence,9
adc_original_firstorder_Minimum,2
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,14
sub_wout_original_firstorder_Maximum,87
adc_original_glcm_ClusterShade,36
sub_wout_original_firstorder_Mean,89
sub_win_original_glcm_Autocorrelation,62
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,85
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,60
sub_wout_original_firstorder_10Percentile,63
adc_original_firstorder_10Percentile,29
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,71
sub_win_original_glcm_ClusterProminence,52
sub_wout_original_firstorder_Minimum,47
sub_wout_original_firstorder_Range,49
sub_wout_original_glcm_ClusterTendency,28
t2w_original_glszm_GrayLevelVariance,11
sub_wout_original_firstorder_RootMeanSquared,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,61
sub_wout_original_glcm_JointAverage,40
sub_win_original_firstorder_Mean,13
sub_wout_original_firstorder_Variance,86
sub_wout_original_firstorder_InterquartileRange,81
sub_win_original_glcm_Idmn,44
sub_win_original_glcm_ClusterShade,54
sub_wout_original_firstorder_Median,72
sub_wout_original_glcm_SumEntropy,75
sub_win_original_firstorder_10Percentile,73
adc_original_glszm_SmallAreaEmphasis,41
sub_wout_original_glszm_GrayLevelVariance,83
t2w_original_glcm_Idmn,55
sub_win_original_glszm_GrayLevelVariance,20
t2w_original_firstorder_Skewness,74
sub_wout_original_glcm_InverseVariance,66
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,76
t2w_original_firstorder_10Percentile,77
adc_original_firstorder_Maximum,8
sub_win_original_firstorder_Range,68
sub_wout_original_glcm_SumSquares,78
t2w_original_glcm_ClusterProminence,37
sub_wout_original_firstorder_90Percentile,69
t2w_original_glcm_SumEntropy,17
sub_wout_original_glszm_ZoneEntropy,43
adc_original_glcm_MaximumProbability,5
t2w_original_glrlm_GrayLevelVariance,79
t2w_original_glszm_ZoneEntropy,15
sub_win_original_glcm_SumSquares,53
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,59
sub_win_original_firstorder_90Percentile,50
t2w_original_glcm_ClusterShade,45
adc_original_glrlm_LongRunEmphasis,25
adc_original_firstorder_Mean,42
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,16
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,1
adc_original_glcm_Correlation,35
t2w_original_glcm_InverseVariance,4
sub_win_original_glcm_Id,80
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,6
sub_wout_original_glcm_DifferenceVariance,65
adc_original_glszm_ZoneEntropy,21
t2w_original_glrlm_RunEntropy,24
sub_wout_original_firstorder_Uniformity,34
t2w_original_firstorder_Median,30
adc_original_glszm_SizeZoneNonUniformityNormalized,39
sub_wout_original_glcm_Imc1,23
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,67
adc_original_glcm_ClusterProminence,33
adc_original_glcm_DifferenceVariance,56
t2w_original_firstorder_90Percentile,51
t2w_original_glszm_SmallAreaEmphasis,82
adc_original_glcm_JointEntropy,64
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,58
t2w_original_glcm_ClusterTendency,57
sub_win_original_glcm_SumEntropy,32
sub_wout_original_glszm_ZoneVariance,12
adc_original_glcm_Idmn,31
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,48
adc_original_firstorder_Kurtosis,70
t2w_original_glcm_MaximumProbability,10
sub_win_original_glszm_ZoneEntropy,19
t2w_original_glszm_SizeZoneNonUniformityNormalized,22
t2w_original_glcm_JointEntropy,26
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,3
sub_win_original_glszm_SizeZoneNonUniformityNormalized,27
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,84
sub_win_original_glcm_MaximumProbability,7
sub_win_original_glcm_Imc1,18
sub_wout_original_glcm_JointEntropy,38
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,46
