feature,rank
sub_wout_original_glcm_ClusterProminence,89
adc_original_firstorder_Minimum,6
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,60
sub_wout_original_firstorder_Maximum,27
adc_original_glcm_ClusterShade,84
sub_wout_original_firstorder_Mean,78
sub_win_original_glcm_Autocorrelation,49
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,16
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,12
sub_wout_original_firstorder_10Percentile,8
adc_original_firstorder_10Percentile,19
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,66
sub_win_original_glcm_ClusterProminence,33
sub_wout_original_firstorder_Minimum,36
sub_wout_original_firstorder_Range,43
sub_wout_original_glcm_ClusterTendency,24
t2w_original_glszm_GrayLevelVariance,44
sub_wout_original_firstorder_RootMeanSquared,21
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,2
sub_wout_original_glcm_JointAverage,11
sub_win_original_firstorder_Mean,9
sub_wout_original_firstorder_Variance,7
sub_wout_original_firstorder_InterquartileRange,79
sub_win_original_glcm_Idmn,5
sub_win_original_glcm_ClusterShade,18
sub_wout_original_firstorder_Median,53
sub_wout_original_glcm_SumEntropy,73
sub_win_original_firstorder_10Percentile,68
adc_original_glszm_SmallAreaEmphasis,74
sub_wout_original_glszm_GrayLevelVariance,3
t2w_original_glcm_Idmn,29
sub_win_original_glszm_GrayLevelVariance,4
t2w_original_firstorder_Skewness,41
sub_wout_original_glcm_InverseVariance,58
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,88
t2w_original_firstorder_10Percentile,71
adc_original_firstorder_Maximum,64
sub_win_original_firstorder_Range,46
sub_wout_original_glcm_SumSquares,28
t2w_original_glcm_ClusterProminence,32
sub_wout_original_firstorder_90Percentile,25
t2w_original_glcm_SumEntropy,15
sub_wout_original_glszm_ZoneEntropy,87
adc_original_glcm_MaximumProbability,35
t2w_original_glrlm_GrayLevelVariance,52
t2w_original_glszm_ZoneEntropy,47
sub_win_original_glcm_SumSquares,13
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,59
sub_win_original_firstorder_90Percentile,76
t2w_original_glcm_ClusterShade,61
adc_original_glrlm_LongRunEmphasis,38
adc_original_firstorder_Mean,51
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,22
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,20
adc_original_glcm_Correlation,10
t2w_original_glcm_InverseVariance,75
sub_win_original_glcm_Id,54
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,63
sub_wout_original_glcm_DifferenceVariance,80
adc_original_glszm_ZoneEntropy,50
t2w_original_glrlm_RunEntropy,72
sub_wout_original_firstorder_Uniformity,39
t2w_original_firstorder_Median,56
adc_original_glszm_SizeZoneNonUniformityNormalized,34
sub_wout_original_glcm_Imc1,70
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,1
adc_original_glcm_ClusterProminence,37
adc_original_glcm_DifferenceVariance,26
t2w_original_firstorder_90Percentile,30
t2w_original_glszm_SmallAreaEmphasis,81
adc_original_glcm_JointEntropy,69
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,67
t2w_original_glcm_ClusterTendency,55
sub_win_original_glcm_SumEntropy,65
sub_wout_original_glszm_ZoneVariance,57
adc_original_glcm_Idmn,85
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,83
adc_original_firstorder_Kurtosis,82
t2w_original_glcm_MaximumProbability,45
sub_win_original_glszm_ZoneEntropy,86
t2w_original_glszm_SizeZoneNonUniformityNormalized,77
t2w_original_glcm_JointEntropy,31
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,48
sub_win_original_glszm_SizeZoneNonUniformityNormalized,17
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,14
sub_win_original_glcm_MaximumProbability,40
sub_win_original_glcm_Imc1,23
sub_wout_original_glcm_JointEntropy,62
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,42
