fs_method,similarity_measure,top_k,estimate
oneDSAE,jaccard,5,0.42857142857142855
oneDSAE,jaccard,10,0.42857142857142855
oneDSAE,jaccard,15,0.42857142857142855
oneDSAE,jaccard,20,0.48148148148148145
oneDSAE,jaccard,25,0.5151515151515151
oneDSAE,dice,5,0.6
oneDSAE,dice,10,0.6
oneDSAE,dice,15,0.6
oneDSAE,dice,20,0.65
oneDSAE,dice,25,0.68
oneDSAE,kuncheva,5,0.5761904761904761
oneDSAE,kuncheva,10,0.549367088607595
oneDSAE,kuncheva,15,0.518918918918919
oneDSAE,kuncheva,20,0.5485507246376812
oneDSAE,kuncheva,25,0.555
oneDSAE,mwm,5,0.7355679567956795
oneDSAE,mwm,10,0.7822502250225023
oneDSAE,mwm,15,0.7483892389238923
oneDSAE,mwm,20,0.8024344207364548
oneDSAE,mwm,25,0.8043233123312332
oneDSAE,global_spearman,NA,0.6060946544092611
oneDSAE,jaccard,5,0.25
oneDSAE,jaccard,10,0.25
oneDSAE,jaccard,15,0.5
oneDSAE,jaccard,20,0.42857142857142855
oneDSAE,jaccard,25,0.5151515151515151
oneDSAE,dice,5,0.4
oneDSAE,dice,10,0.4
oneDSAE,dice,15,0.6666666666666666
oneDSAE,dice,20,0.6
oneDSAE,dice,25,0.68
oneDSAE,kuncheva,5,0.36428571428571427
oneDSAE,kuncheva,10,0.3240506329113924
oneDSAE,kuncheva,15,0.5990990990990991
oneDSAE,kuncheva,20,0.48405797101449277
oneDSAE,kuncheva,25,0.555
oneDSAE,mwm,5,0.6277947794779479
oneDSAE,mwm,10,0.6633639363936394
oneDSAE,mwm,15,0.7915791579157915
oneDSAE,mwm,20,0.7287910991330995
oneDSAE,mwm,25,0.7766077407740773
oneDSAE,global_spearman,NA,0.6809669731018045
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.5
oneDSAE,jaccard,20,0.6
oneDSAE,jaccard,25,0.5625
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.6666666666666666
oneDSAE,dice,20,0.75
oneDSAE,dice,25,0.72
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.5990990990990991
oneDSAE,kuncheva,20,0.677536231884058
oneDSAE,kuncheva,25,0.610625
oneDSAE,mwm,5,0.5107158715871588
oneDSAE,mwm,10,0.6318607860786079
oneDSAE,mwm,15,0.7305794579457946
oneDSAE,mwm,20,0.8281242124212419
oneDSAE,mwm,25,0.8024570223520052
oneDSAE,global_spearman,NA,0.7663602315287709
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.30434782608695654
oneDSAE,jaccard,20,0.2903225806451613
oneDSAE,jaccard,25,0.35135135135135137
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.4666666666666667
oneDSAE,dice,20,0.45
oneDSAE,dice,25,0.52
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.35855855855855856
oneDSAE,kuncheva,20,0.29057971014492756
oneDSAE,kuncheva,25,0.3325
oneDSAE,mwm,5,0.5227146714671467
oneDSAE,mwm,10,0.6267493122299287
oneDSAE,mwm,15,0.6680466962020907
oneDSAE,mwm,20,0.6474389949679986
oneDSAE,mwm,25,0.6465801838773482
oneDSAE,global_spearman,NA,0.5251447054817842
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.5789473684210527
oneDSAE,jaccard,20,0.48148148148148145
oneDSAE,jaccard,25,0.47058823529411764
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.7333333333333333
oneDSAE,dice,20,0.65
oneDSAE,dice,25,0.64
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.6792792792792792
oneDSAE,kuncheva,20,0.5485507246376812
oneDSAE,kuncheva,25,0.499375
oneDSAE,mwm,5,0.48743354335433553
oneDSAE,mwm,10,0.7074359435943595
oneDSAE,mwm,15,0.8147638763876388
oneDSAE,mwm,20,0.7895673567356736
oneDSAE,mwm,25,0.7849284128412839
oneDSAE,global_spearman,NA,0.5151685393258427
oneDSAE,jaccard,5,0.0
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.36363636363636365
oneDSAE,jaccard,20,0.5384615384615384
oneDSAE,jaccard,25,0.42857142857142855
oneDSAE,dice,5,0.0
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.5333333333333333
oneDSAE,dice,20,0.7
oneDSAE,dice,25,0.6
oneDSAE,kuncheva,5,-0.05952380952380952
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.43873873873873875
oneDSAE,kuncheva,20,0.6130434782608696
oneDSAE,kuncheva,25,0.44375
oneDSAE,mwm,5,0.446000600060006
oneDSAE,mwm,10,0.6789090909090909
oneDSAE,mwm,15,0.740120412041204
oneDSAE,mwm,20,0.789314573918466
oneDSAE,mwm,25,0.7524482344633094
