estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.3928571428571429,0.39375
LogisticRegression,1,0.6309523809523809,0.48956552706552703
LogisticRegression,2,0.30952380952380953,0.24884288398220283
LogisticRegression,3,0.34523809523809523,0.26551207077522865
LogisticRegression,4,0.7333333333333334,0.6305555555555555
SVC,0,0.2857142857142857,0.2515448603683898
SVC,1,0.5238095238095238,0.32380952380952377
SVC,2,0.3928571428571428,0.27585649644473176
SVC,3,0.45238095238095233,0.3040584415584416
SVC,4,0.6133333333333333,0.412156862745098
RandomForestClassifier,0,0.5297619047619048,0.4405794369029663
RandomForestClassifier,1,0.5952380952380953,0.4645743145743146
RandomForestClassifier,2,0.5952380952380952,0.4852614490772385
RandomForestClassifier,3,0.6190476190476191,0.40382205513784464
RandomForestClassifier,4,0.6000000000000001,0.48653846153846153
MLPClassifier,0,0.20238095238095236,0.22267323749521895
MLPClassifier,1,0.5357142857142857,0.33283146591970125
MLPClassifier,2,0.6428571428571428,0.5639880952380952
MLPClassifier,3,0.4047619047619047,0.28835978835978837
MLPClassifier,4,0.5066666666666667,0.4526143790849673
