feature,rank
t2w_original_glcm_Idmn,89
adc_original_firstorder_Maximum,88
sub_win_original_glcm_ClusterProminence,87
sub_wout_original_glcm_JointAverage,86
sub_wout_original_glcm_ClusterProminence,85
sub_wout_original_glcm_DifferenceVariance,84
sub_wout_original_firstorder_Median,83
sub_wout_original_glcm_SumSquares,82
sub_wout_original_glcm_JointEntropy,81
sub_win_original_glcm_SumSquares,80
sub_win_original_firstorder_Mean,79
adc_original_firstorder_Minimum,78
sub_wout_original_firstorder_10Percentile,77
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,76
adc_original_firstorder_Kurtosis,75
sub_wout_original_firstorder_Mean,74
sub_wout_original_firstorder_Variance,73
sub_wout_original_glszm_GrayLevelVariance,72
sub_wout_original_firstorder_Minimum,71
sub_wout_original_firstorder_Uniformity,70
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,69
sub_wout_original_firstorder_RootMeanSquared,68
adc_original_firstorder_10Percentile,67
sub_win_original_glcm_Id,66
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,65
sub_wout_original_firstorder_Maximum,64
adc_original_firstorder_Mean,63
adc_original_glszm_SizeZoneNonUniformityNormalized,62
sub_win_original_glcm_Idmn,61
t2w_original_firstorder_Skewness,60
sub_wout_original_glcm_SumEntropy,59
t2w_original_glcm_MaximumProbability,58
adc_original_glcm_ClusterProminence,57
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,56
adc_original_glcm_JointEntropy,55
t2w_original_glszm_GrayLevelVariance,54
sub_wout_original_glcm_Imc1,53
t2w_original_glcm_InverseVariance,52
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,51
t2w_original_glrlm_GrayLevelVariance,50
sub_win_original_glcm_MaximumProbability,49
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,48
sub_win_original_glcm_Autocorrelation,47
sub_win_original_glcm_SumEntropy,46
sub_wout_original_glcm_InverseVariance,45
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,44
sub_win_original_glcm_ClusterShade,43
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,42
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,41
adc_original_glszm_SmallAreaEmphasis,40
sub_wout_original_firstorder_90Percentile,39
t2w_original_firstorder_90Percentile,38
t2w_original_glcm_SumEntropy,37
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,36
adc_original_glcm_Correlation,35
t2w_original_glszm_SizeZoneNonUniformityNormalized,34
t2w_original_glszm_ZoneEntropy,33
adc_original_glrlm_LongRunEmphasis,32
t2w_original_glcm_ClusterProminence,31
sub_win_original_glcm_Imc1,30
t2w_original_glrlm_RunEntropy,29
t2w_original_glcm_JointEntropy,28
sub_wout_original_firstorder_Range,27
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,26
t2w_original_glcm_ClusterShade,25
t2w_original_glszm_SmallAreaEmphasis,24
sub_wout_original_glcm_ClusterTendency,23
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,22
adc_original_glszm_ZoneEntropy,21
sub_win_original_firstorder_10Percentile,20
sub_win_original_glszm_ZoneEntropy,19
sub_win_original_glszm_SizeZoneNonUniformityNormalized,18
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,17
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,16
adc_original_glcm_DifferenceVariance,15
adc_original_glcm_Idmn,14
sub_win_original_glszm_GrayLevelVariance,13
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,12
t2w_original_firstorder_10Percentile,11
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,10
t2w_original_firstorder_Median,9
sub_win_original_firstorder_Range,8
t2w_original_glcm_ClusterTendency,7
adc_original_glcm_ClusterShade,6
sub_win_original_firstorder_90Percentile,5
sub_wout_original_glszm_ZoneVariance,4
adc_original_glcm_MaximumProbability,3
sub_wout_original_firstorder_InterquartileRange,2
sub_wout_original_glszm_ZoneEntropy,1
