feature,rank
sub_win_original_glcm_Imc1,89
t2w_original_firstorder_10Percentile,88
t2w_original_glrlm_GrayLevelVariance,87
t2w_original_glszm_ZoneEntropy,86
adc_original_firstorder_Maximum,85
adc_original_glcm_ClusterShade,84
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,83
adc_original_firstorder_Minimum,82
t2w_original_firstorder_Median,81
adc_original_glszm_ZoneEntropy,80
t2w_original_glcm_JointEntropy,79
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,78
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,77
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,76
t2w_original_glcm_SumEntropy,75
sub_wout_original_glcm_SumEntropy,74
sub_win_original_glszm_ZoneEntropy,73
sub_win_original_glcm_ClusterShade,72
sub_win_original_firstorder_90Percentile,71
sub_win_original_glszm_GrayLevelVariance,70
adc_original_firstorder_10Percentile,69
sub_win_original_firstorder_Range,68
sub_wout_original_glcm_Imc1,67
t2w_original_glszm_SizeZoneNonUniformityNormalized,66
t2w_original_glcm_ClusterProminence,65
adc_original_glcm_Correlation,64
sub_win_original_glcm_SumEntropy,63
sub_wout_original_glcm_ClusterProminence,62
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,61
adc_original_firstorder_Kurtosis,60
t2w_original_glszm_SmallAreaEmphasis,59
adc_original_glrlm_LongRunEmphasis,58
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,57
sub_win_original_glcm_Autocorrelation,56
sub_win_original_firstorder_Mean,55
sub_wout_original_glszm_GrayLevelVariance,54
t2w_original_glcm_InverseVariance,53
sub_wout_original_glcm_InverseVariance,52
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,51
sub_wout_original_firstorder_10Percentile,50
sub_win_original_glcm_ClusterProminence,49
t2w_original_glcm_Idmn,48
sub_win_original_glszm_SizeZoneNonUniformityNormalized,47
sub_wout_original_glcm_JointAverage,46
sub_wout_original_firstorder_RootMeanSquared,45
sub_wout_original_firstorder_Uniformity,44
t2w_original_glcm_ClusterTendency,43
sub_win_original_glcm_Id,42
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,41
t2w_original_firstorder_90Percentile,40
sub_wout_original_glcm_DifferenceVariance,39
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,38
t2w_original_glszm_GrayLevelVariance,37
sub_wout_original_glszm_ZoneEntropy,36
adc_original_glcm_ClusterProminence,35
t2w_original_glcm_ClusterShade,34
sub_wout_original_firstorder_Median,33
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,32
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,31
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,30
sub_wout_original_firstorder_InterquartileRange,29
sub_win_original_glcm_SumSquares,28
sub_win_original_firstorder_10Percentile,27
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,26
adc_original_glszm_SizeZoneNonUniformityNormalized,25
sub_wout_original_firstorder_Variance,24
adc_original_glcm_DifferenceVariance,23
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,22
adc_original_glszm_SmallAreaEmphasis,21
sub_wout_original_glcm_JointEntropy,20
adc_original_glcm_MaximumProbability,19
sub_wout_original_glcm_ClusterTendency,18
sub_wout_original_firstorder_Range,17
sub_wout_original_glszm_ZoneVariance,16
sub_wout_original_firstorder_Mean,15
adc_original_firstorder_Mean,14
sub_wout_original_glcm_SumSquares,13
t2w_original_glcm_MaximumProbability,12
sub_wout_original_firstorder_Maximum,11
sub_wout_original_firstorder_90Percentile,10
sub_wout_original_firstorder_Minimum,9
sub_win_original_glcm_Idmn,8
adc_original_glcm_JointEntropy,7
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,6
sub_win_original_glcm_MaximumProbability,5
adc_original_glcm_Idmn,4
t2w_original_glrlm_RunEntropy,3
t2w_original_firstorder_Skewness,2
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,1
