feature,rank
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,89
sub_wout_original_glcm_Imc1,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,87
sub_win_original_glcm_SumEntropy,86
sub_win_original_glcm_Imc1,85
sub_wout_original_glszm_ZoneEntropy,84
sub_wout_original_firstorder_Mean,83
adc_original_firstorder_Maximum,82
adc_original_glcm_ClusterProminence,81
t2w_original_firstorder_Skewness,80
sub_wout_original_glcm_JointEntropy,79
sub_win_original_firstorder_Range,78
t2w_original_glcm_ClusterShade,77
sub_wout_original_glcm_DifferenceVariance,76
t2w_original_glcm_JointEntropy,75
adc_original_glszm_SmallAreaEmphasis,74
t2w_original_glcm_MaximumProbability,73
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,72
t2w_original_glcm_SumEntropy,71
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,70
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,69
adc_original_glcm_ClusterShade,68
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,67
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,66
sub_win_original_glcm_Idmn,65
t2w_original_glcm_InverseVariance,64
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,63
sub_wout_original_firstorder_Minimum,62
sub_win_original_glszm_GrayLevelVariance,61
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,60
sub_win_original_firstorder_Mean,59
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,58
t2w_original_glszm_ZoneEntropy,57
sub_win_original_glcm_SumSquares,56
sub_wout_original_firstorder_Range,55
adc_original_glcm_DifferenceVariance,54
t2w_original_firstorder_90Percentile,53
adc_original_firstorder_Minimum,52
sub_wout_original_firstorder_Maximum,51
adc_original_firstorder_Mean,50
adc_original_firstorder_10Percentile,49
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,48
adc_original_glcm_JointEntropy,47
sub_win_original_glszm_ZoneEntropy,46
sub_wout_original_glcm_SumEntropy,45
sub_win_original_glcm_ClusterShade,44
sub_win_original_firstorder_90Percentile,43
sub_wout_original_glcm_InverseVariance,42
sub_win_original_firstorder_10Percentile,41
sub_wout_original_firstorder_90Percentile,40
t2w_original_glcm_Idmn,39
t2w_original_firstorder_Median,38
sub_wout_original_firstorder_Median,37
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,36
adc_original_glcm_MaximumProbability,35
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,34
sub_wout_original_glcm_SumSquares,33
sub_wout_original_glcm_JointAverage,32
adc_original_glcm_Correlation,31
sub_win_original_glcm_ClusterProminence,30
sub_wout_original_firstorder_RootMeanSquared,29
t2w_original_glszm_SmallAreaEmphasis,28
t2w_original_glrlm_GrayLevelVariance,27
sub_wout_original_firstorder_Uniformity,26
adc_original_glrlm_LongRunEmphasis,25
adc_original_glszm_ZoneEntropy,24
t2w_original_glszm_GrayLevelVariance,23
sub_win_original_glcm_MaximumProbability,22
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,21
t2w_original_glrlm_RunEntropy,20
sub_win_original_glszm_SizeZoneNonUniformityNormalized,19
sub_win_original_glcm_Id,18
sub_wout_original_firstorder_InterquartileRange,17
adc_original_firstorder_Kurtosis,16
adc_original_glszm_SizeZoneNonUniformityNormalized,15
t2w_original_firstorder_10Percentile,14
sub_wout_original_firstorder_10Percentile,13
sub_win_original_glcm_Autocorrelation,12
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,11
sub_wout_original_glcm_ClusterProminence,10
adc_original_glcm_Idmn,9
t2w_original_glcm_ClusterProminence,8
sub_wout_original_glszm_GrayLevelVariance,7
sub_wout_original_glcm_ClusterTendency,6
sub_wout_original_glszm_ZoneVariance,5
t2w_original_glcm_ClusterTendency,4
sub_wout_original_firstorder_Variance,3
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,2
t2w_original_glszm_SizeZoneNonUniformityNormalized,1
