feature,rank
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,89
sub_win_original_glcm_ClusterProminence,88
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,87
sub_wout_original_glcm_JointAverage,86
sub_win_original_glcm_SumEntropy,85
sub_wout_original_glszm_GrayLevelVariance,84
t2w_original_glszm_GrayLevelVariance,83
t2w_original_glcm_InverseVariance,82
sub_win_original_glcm_ClusterShade,81
adc_original_firstorder_10Percentile,80
sub_win_original_glcm_SumSquares,79
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,78
adc_original_firstorder_Mean,77
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,76
sub_wout_original_glcm_DifferenceVariance,75
adc_original_glcm_ClusterProminence,74
sub_win_original_glcm_Id,73
t2w_original_firstorder_90Percentile,72
sub_wout_original_firstorder_Maximum,71
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,70
adc_original_firstorder_Minimum,69
t2w_original_firstorder_Skewness,68
sub_win_original_glcm_Imc1,67
sub_win_original_glcm_Autocorrelation,66
sub_wout_original_glcm_ClusterProminence,65
adc_original_glcm_JointEntropy,64
sub_wout_original_firstorder_Uniformity,63
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,62
t2w_original_glrlm_GrayLevelVariance,61
sub_wout_original_firstorder_Minimum,60
sub_wout_original_firstorder_RootMeanSquared,59
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,58
t2w_original_glrlm_RunEntropy,57
adc_original_glcm_DifferenceVariance,56
sub_wout_original_firstorder_Variance,55
sub_win_original_firstorder_Mean,54
sub_wout_original_glcm_InverseVariance,53
sub_win_original_firstorder_Range,52
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,51
adc_original_glcm_Idmn,50
sub_wout_original_glcm_SumEntropy,49
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,48
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,47
adc_original_glcm_MaximumProbability,46
sub_wout_original_glcm_ClusterTendency,45
sub_wout_original_firstorder_Median,44
t2w_original_glcm_JointEntropy,43
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,42
sub_wout_original_glcm_JointEntropy,41
sub_wout_original_glcm_Imc1,40
t2w_original_glszm_SmallAreaEmphasis,39
adc_original_glszm_SmallAreaEmphasis,38
sub_win_original_glszm_GrayLevelVariance,37
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,36
sub_wout_original_firstorder_Mean,35
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,34
t2w_original_glszm_ZoneEntropy,33
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,32
sub_win_original_glszm_ZoneEntropy,31
t2w_original_glcm_ClusterShade,30
t2w_original_glcm_Idmn,29
adc_original_glszm_SizeZoneNonUniformityNormalized,28
sub_win_original_glcm_MaximumProbability,27
sub_wout_original_firstorder_Range,26
t2w_original_glszm_SizeZoneNonUniformityNormalized,25
adc_original_glcm_Correlation,24
sub_wout_original_glszm_ZoneEntropy,23
t2w_original_glcm_MaximumProbability,22
adc_original_firstorder_Kurtosis,21
sub_wout_original_glszm_ZoneVariance,20
sub_wout_original_firstorder_90Percentile,19
t2w_original_firstorder_10Percentile,18
t2w_original_glcm_ClusterProminence,17
sub_win_original_glcm_Idmn,16
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,15
sub_wout_original_firstorder_10Percentile,14
adc_original_firstorder_Maximum,13
t2w_original_glcm_SumEntropy,12
adc_original_glrlm_LongRunEmphasis,11
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,10
adc_original_glszm_ZoneEntropy,9
sub_win_original_glszm_SizeZoneNonUniformityNormalized,8
sub_wout_original_glcm_SumSquares,7
t2w_original_glcm_ClusterTendency,6
sub_win_original_firstorder_90Percentile,5
t2w_original_firstorder_Median,4
adc_original_glcm_ClusterShade,3
sub_win_original_firstorder_10Percentile,2
sub_wout_original_firstorder_InterquartileRange,1
