estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.3928571428571429,0.39375
LogisticRegression,1,0.6309523809523809,0.48956552706552703
LogisticRegression,2,0.30952380952380953,0.24884288398220283
LogisticRegression,3,0.34523809523809523,0.26551207077522865
LogisticRegression,4,0.7333333333333334,0.6305555555555555
SVC,0,0.27976190476190477,0.24321152703505644
SVC,1,0.5238095238095238,0.32380952380952377
SVC,2,0.3928571428571428,0.27585649644473176
SVC,3,0.45238095238095233,0.3040584415584416
SVC,4,0.6133333333333333,0.412156862745098
RandomForestClassifier,0,0.5476190476190477,0.4756944444444444
RandomForestClassifier,1,0.5952380952380952,0.4247086247086247
RandomForestClassifier,2,0.625,0.42054195804195804
RandomForestClassifier,3,0.6488095238095238,0.45077972709551656
RandomForestClassifier,4,0.6133333333333333,0.47202551834130785
MLPClassifier,0,0.2261904761904762,0.22970620996936786
MLPClassifier,1,0.4880952380952381,0.3066951566951567
MLPClassifier,2,0.6428571428571428,0.4973214285714285
MLPClassifier,3,0.4285714285714286,0.2941468253968254
MLPClassifier,4,0.5599999999999999,0.5026143790849673
