estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.6428571428571429,0.5919834307992202
LogisticRegression,1,0.5119047619047619,0.37518939393939393
LogisticRegression,2,0.5595238095238095,0.5508870214752567
LogisticRegression,3,0.41666666666666663,0.2964481732864086
LogisticRegression,4,0.9466666666666668,0.911111111111111
SVC,0,0.5238095238095238,0.48650793650793644
SVC,1,0.47619047619047616,0.3530780494015788
SVC,2,0.40476190476190477,0.30598086124401913
SVC,3,0.32142857142857145,0.28240740740740744
SVC,4,0.5466666666666667,0.34051036682615626
RandomForestClassifier,0,0.48809523809523814,0.5295751633986928
RandomForestClassifier,1,0.488095238095238,0.4312691450849345
RandomForestClassifier,2,0.625,0.5799755799755799
RandomForestClassifier,3,0.5535714285714286,0.3406746031746032
RandomForestClassifier,4,0.6133333333333333,0.47222222222222227
MLPClassifier,0,0.5,0.4836349924585218
MLPClassifier,1,0.6071428571428571,0.5953314659197012
MLPClassifier,2,0.5476190476190477,0.476797385620915
MLPClassifier,3,0.5476190476190476,0.3677489177489177
MLPClassifier,4,0.36,0.2511111111111111
