feature,rank
sub_wout_original_glcm_ClusterProminence,89
adc_original_firstorder_Minimum,24
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,37
sub_wout_original_firstorder_Maximum,77
adc_original_glcm_ClusterShade,16
sub_wout_original_firstorder_Mean,79
sub_win_original_glcm_Autocorrelation,65
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,70
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,74
sub_wout_original_firstorder_10Percentile,61
adc_original_firstorder_10Percentile,67
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,46
sub_win_original_glcm_ClusterProminence,44
sub_wout_original_firstorder_Minimum,42
sub_wout_original_firstorder_Range,66
sub_wout_original_glcm_ClusterTendency,80
t2w_original_glszm_GrayLevelVariance,51
sub_wout_original_firstorder_RootMeanSquared,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,64
sub_wout_original_glcm_JointAverage,52
sub_win_original_firstorder_Mean,32
sub_wout_original_firstorder_Variance,82
sub_wout_original_firstorder_InterquartileRange,83
sub_win_original_glcm_Idmn,85
sub_win_original_glcm_ClusterShade,87
sub_wout_original_firstorder_Median,34
sub_wout_original_glcm_SumEntropy,78
sub_win_original_firstorder_10Percentile,63
adc_original_glszm_SmallAreaEmphasis,17
sub_wout_original_glszm_GrayLevelVariance,58
t2w_original_glcm_Idmn,20
sub_win_original_glszm_GrayLevelVariance,14
t2w_original_firstorder_Skewness,27
sub_wout_original_glcm_InverseVariance,29
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,62
t2w_original_firstorder_10Percentile,26
adc_original_firstorder_Maximum,28
sub_win_original_firstorder_Range,75
sub_wout_original_glcm_SumSquares,84
t2w_original_glcm_ClusterProminence,48
sub_wout_original_firstorder_90Percentile,86
t2w_original_glcm_SumEntropy,6
sub_wout_original_glszm_ZoneEntropy,11
adc_original_glcm_MaximumProbability,50
t2w_original_glrlm_GrayLevelVariance,68
t2w_original_glszm_ZoneEntropy,10
sub_win_original_glcm_SumSquares,18
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,73
sub_win_original_firstorder_90Percentile,59
t2w_original_glcm_ClusterShade,35
adc_original_glrlm_LongRunEmphasis,40
adc_original_firstorder_Mean,54
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,56
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,21
adc_original_glcm_Correlation,45
t2w_original_glcm_InverseVariance,12
sub_win_original_glcm_Id,41
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,15
sub_wout_original_glcm_DifferenceVariance,47
adc_original_glszm_ZoneEntropy,49
t2w_original_glrlm_RunEntropy,2
sub_wout_original_firstorder_Uniformity,7
t2w_original_firstorder_Median,43
adc_original_glszm_SizeZoneNonUniformityNormalized,9
sub_wout_original_glcm_Imc1,25
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,69
adc_original_glcm_ClusterProminence,30
adc_original_glcm_DifferenceVariance,71
t2w_original_firstorder_90Percentile,81
t2w_original_glszm_SmallAreaEmphasis,13
adc_original_glcm_JointEntropy,72
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,55
t2w_original_glcm_ClusterTendency,38
sub_win_original_glcm_SumEntropy,22
sub_wout_original_glszm_ZoneVariance,19
adc_original_glcm_Idmn,60
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,76
adc_original_firstorder_Kurtosis,33
t2w_original_glcm_MaximumProbability,23
sub_win_original_glszm_ZoneEntropy,57
t2w_original_glszm_SizeZoneNonUniformityNormalized,1
t2w_original_glcm_JointEntropy,8
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,3
sub_win_original_glszm_SizeZoneNonUniformityNormalized,4
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,53
sub_win_original_glcm_MaximumProbability,36
sub_win_original_glcm_Imc1,31
sub_wout_original_glcm_JointEntropy,5
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,39
