estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.6190476190476191,0.5820627958785853
LogisticRegression,1,0.5119047619047619,0.37518939393939393
LogisticRegression,2,0.6190476190476191,0.5747867328749682
LogisticRegression,3,0.40476190476190477,0.2862731631113984
LogisticRegression,4,0.8933333333333334,0.8111111111111111
SVC,0,0.5714285714285714,0.4912889863547758
SVC,1,0.47619047619047616,0.3530780494015788
SVC,2,0.6428571428571428,0.5319444444444444
SVC,3,0.30952380952380953,0.26851851851851855
SVC,4,0.29333333333333333,0.21462274567537729
RandomForestClassifier,0,0.44047619047619047,0.4130482456140351
RandomForestClassifier,1,0.49404761904761907,0.45126072757651703
RandomForestClassifier,2,0.5952380952380952,0.5203282828282828
RandomForestClassifier,3,0.4880952380952381,0.3128968253968254
RandomForestClassifier,4,0.5,0.3788048552754435
MLPClassifier,0,0.6190476190476191,0.4805555555555555
MLPClassifier,1,0.5714285714285715,0.5548611111111111
MLPClassifier,2,0.6666666666666666,0.5407268170426065
MLPClassifier,3,0.5833333333333334,0.35578403078403076
MLPClassifier,4,0.4,0.4016290726817043
