feature,rank
sub_wout_original_glcm_ClusterProminence,73
adc_original_firstorder_Minimum,17
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,40
sub_wout_original_firstorder_Maximum,28
adc_original_glcm_ClusterShade,50
sub_wout_original_firstorder_Mean,82
sub_win_original_glcm_Autocorrelation,66
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,35
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,68
sub_wout_original_firstorder_10Percentile,36
adc_original_firstorder_10Percentile,33
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,34
sub_win_original_glcm_ClusterProminence,39
sub_wout_original_firstorder_Minimum,67
sub_wout_original_firstorder_Range,60
sub_wout_original_glcm_ClusterTendency,77
t2w_original_glszm_GrayLevelVariance,51
sub_wout_original_firstorder_RootMeanSquared,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,80
sub_wout_original_glcm_JointAverage,69
sub_win_original_firstorder_Mean,26
sub_wout_original_firstorder_Variance,86
sub_wout_original_firstorder_InterquartileRange,85
sub_win_original_glcm_Idmn,24
sub_win_original_glcm_ClusterShade,52
sub_wout_original_firstorder_Median,16
sub_wout_original_glcm_SumEntropy,72
sub_win_original_firstorder_10Percentile,65
adc_original_glszm_SmallAreaEmphasis,59
sub_wout_original_glszm_GrayLevelVariance,75
t2w_original_glcm_Idmn,62
sub_win_original_glszm_GrayLevelVariance,6
t2w_original_firstorder_Skewness,63
sub_wout_original_glcm_InverseVariance,18
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,58
t2w_original_firstorder_10Percentile,47
adc_original_firstorder_Maximum,9
sub_win_original_firstorder_Range,71
sub_wout_original_glcm_SumSquares,79
t2w_original_glcm_ClusterProminence,89
sub_wout_original_firstorder_90Percentile,84
t2w_original_glcm_SumEntropy,15
sub_wout_original_glszm_ZoneEntropy,29
adc_original_glcm_MaximumProbability,27
t2w_original_glrlm_GrayLevelVariance,74
t2w_original_glszm_ZoneEntropy,83
sub_win_original_glcm_SumSquares,37
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,25
sub_win_original_firstorder_90Percentile,54
t2w_original_glcm_ClusterShade,87
adc_original_glrlm_LongRunEmphasis,19
adc_original_firstorder_Mean,21
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,20
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,56
adc_original_glcm_Correlation,41
t2w_original_glcm_InverseVariance,70
sub_win_original_glcm_Id,12
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,30
sub_wout_original_glcm_DifferenceVariance,45
adc_original_glszm_ZoneEntropy,38
t2w_original_glrlm_RunEntropy,10
sub_wout_original_firstorder_Uniformity,1
t2w_original_firstorder_Median,78
adc_original_glszm_SizeZoneNonUniformityNormalized,8
sub_wout_original_glcm_Imc1,22
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,76
adc_original_glcm_ClusterProminence,23
adc_original_glcm_DifferenceVariance,61
t2w_original_firstorder_90Percentile,81
t2w_original_glszm_SmallAreaEmphasis,57
adc_original_glcm_JointEntropy,64
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,43
t2w_original_glcm_ClusterTendency,48
sub_win_original_glcm_SumEntropy,13
sub_wout_original_glszm_ZoneVariance,5
adc_original_glcm_Idmn,55
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,32
adc_original_firstorder_Kurtosis,53
t2w_original_glcm_MaximumProbability,14
sub_win_original_glszm_ZoneEntropy,46
t2w_original_glszm_SizeZoneNonUniformityNormalized,7
t2w_original_glcm_JointEntropy,49
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,11
sub_win_original_glszm_SizeZoneNonUniformityNormalized,2
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,44
sub_win_original_glcm_MaximumProbability,4
sub_win_original_glcm_Imc1,42
sub_wout_original_glcm_JointEntropy,3
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,31
