estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.6428571428571429,0.5919834307992202
LogisticRegression,1,0.47619047619047616,0.3484228247386142
LogisticRegression,2,0.5714285714285714,0.4233058608058608
LogisticRegression,3,0.41666666666666663,0.2964481732864086
LogisticRegression,4,0.7066666666666668,0.5333333333333333
SVC,0,0.5238095238095238,0.48650793650793644
SVC,1,0.44047619047619047,0.34074074074074073
SVC,2,0.44047619047619047,0.31420454545454546
SVC,3,0.32142857142857145,0.28240740740740744
SVC,4,0.3333333333333333,0.2744444444444445
RandomForestClassifier,0,0.48809523809523814,0.5295751633986928
RandomForestClassifier,1,0.48809523809523814,0.3347222222222222
RandomForestClassifier,2,0.5476190476190477,0.3481753812636165
RandomForestClassifier,3,0.5535714285714286,0.3406746031746032
RandomForestClassifier,4,0.5733333333333334,0.34525058275058274
MLPClassifier,0,0.5,0.4836349924585218
MLPClassifier,1,0.2738095238095238,0.24141991479452782
MLPClassifier,2,0.32142857142857145,0.29677093059446
MLPClassifier,3,0.5833333333333333,0.36854575163398695
MLPClassifier,4,0.5733333333333334,0.4470286576168929
