feature,rank
sub_wout_original_glcm_ClusterProminence,83
adc_original_firstorder_Minimum,18
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,17
sub_wout_original_firstorder_Maximum,39
adc_original_glcm_ClusterShade,15
sub_wout_original_firstorder_Mean,84
sub_win_original_glcm_Autocorrelation,44
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,66
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,50
sub_wout_original_firstorder_10Percentile,71
adc_original_firstorder_10Percentile,43
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,36
sub_win_original_glcm_ClusterProminence,60
sub_wout_original_firstorder_Minimum,72
sub_wout_original_firstorder_Range,74
sub_wout_original_glcm_ClusterTendency,81
t2w_original_glszm_GrayLevelVariance,57
sub_wout_original_firstorder_RootMeanSquared,87
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,89
sub_wout_original_glcm_JointAverage,73
sub_win_original_firstorder_Mean,65
sub_wout_original_firstorder_Variance,88
sub_wout_original_firstorder_InterquartileRange,79
sub_win_original_glcm_Idmn,52
sub_win_original_glcm_ClusterShade,28
sub_wout_original_firstorder_Median,19
sub_wout_original_glcm_SumEntropy,76
sub_win_original_firstorder_10Percentile,63
adc_original_glszm_SmallAreaEmphasis,31
sub_wout_original_glszm_GrayLevelVariance,80
t2w_original_glcm_Idmn,7
sub_win_original_glszm_GrayLevelVariance,11
t2w_original_firstorder_Skewness,61
sub_wout_original_glcm_InverseVariance,42
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,82
t2w_original_firstorder_10Percentile,37
adc_original_firstorder_Maximum,47
sub_win_original_firstorder_Range,53
sub_wout_original_glcm_SumSquares,85
t2w_original_glcm_ClusterProminence,30
sub_wout_original_firstorder_90Percentile,68
t2w_original_glcm_SumEntropy,12
sub_wout_original_glszm_ZoneEntropy,9
adc_original_glcm_MaximumProbability,77
t2w_original_glrlm_GrayLevelVariance,64
t2w_original_glszm_ZoneEntropy,21
sub_win_original_glcm_SumSquares,67
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,32
sub_win_original_firstorder_90Percentile,49
t2w_original_glcm_ClusterShade,34
adc_original_glrlm_LongRunEmphasis,78
adc_original_firstorder_Mean,46
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,14
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,55
adc_original_glcm_Correlation,41
t2w_original_glcm_InverseVariance,16
sub_win_original_glcm_Id,56
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,35
sub_wout_original_glcm_DifferenceVariance,33
adc_original_glszm_ZoneEntropy,48
t2w_original_glrlm_RunEntropy,5
sub_wout_original_firstorder_Uniformity,6
t2w_original_firstorder_Median,40
adc_original_glszm_SizeZoneNonUniformityNormalized,10
sub_wout_original_glcm_Imc1,58
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,86
adc_original_glcm_ClusterProminence,51
adc_original_glcm_DifferenceVariance,70
t2w_original_firstorder_90Percentile,59
t2w_original_glszm_SmallAreaEmphasis,20
adc_original_glcm_JointEntropy,45
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,38
t2w_original_glcm_ClusterTendency,2
sub_win_original_glcm_SumEntropy,3
sub_wout_original_glszm_ZoneVariance,27
adc_original_glcm_Idmn,69
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,75
adc_original_firstorder_Kurtosis,26
t2w_original_glcm_MaximumProbability,29
sub_win_original_glszm_ZoneEntropy,22
t2w_original_glszm_SizeZoneNonUniformityNormalized,4
t2w_original_glcm_JointEntropy,23
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,8
sub_win_original_glszm_SizeZoneNonUniformityNormalized,13
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,54
sub_win_original_glcm_MaximumProbability,1
sub_win_original_glcm_Imc1,25
sub_wout_original_glcm_JointEntropy,24
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,62
