estimator,fold,roc_auc,prc_auc
LogisticRegression,0,0.5595238095238095,0.34412901912901916
LogisticRegression,1,0.6309523809523809,0.48475135975135974
LogisticRegression,2,0.6071428571428572,0.5790674603174603
LogisticRegression,3,0.41666666666666663,0.3150898078529657
LogisticRegression,4,0.8133333333333334,0.5509523809523809
SVC,0,0.4047619047619047,0.27581908831908836
SVC,1,0.5952380952380953,0.4832435538317892
SVC,2,0.38095238095238093,0.2830385258016837
SVC,3,0.4523809523809524,0.31903998778998777
SVC,4,0.8400000000000001,0.5533333333333332
RandomForestClassifier,0,0.4583333333333333,0.33558201058201054
RandomForestClassifier,1,0.33333333333333337,0.33327763854079645
RandomForestClassifier,2,0.648809523809524,0.6525910364145657
RandomForestClassifier,3,0.5238095238095238,0.3905400756793945
RandomForestClassifier,4,0.62,0.3151265401265401
MLPClassifier,0,0.5952380952380952,0.36755050505050507
MLPClassifier,1,0.5476190476190477,0.44487456987456986
MLPClassifier,2,0.5238095238095238,0.3841179653679654
MLPClassifier,3,0.4523809523809524,0.4124338624338624
MLPClassifier,4,0.5333333333333333,0.35499533146591966
