feature,rank
sub_wout_original_glcm_ClusterProminence,37
adc_original_firstorder_Minimum,69
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,75
sub_wout_original_firstorder_Maximum,17
adc_original_glcm_ClusterShade,51
sub_wout_original_firstorder_Mean,40
sub_win_original_glcm_Autocorrelation,44
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,19
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,49
sub_wout_original_firstorder_10Percentile,33
adc_original_firstorder_10Percentile,67
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,24
sub_win_original_glcm_ClusterProminence,13
sub_wout_original_firstorder_Minimum,27
sub_wout_original_firstorder_Range,70
sub_wout_original_glcm_ClusterTendency,83
t2w_original_glszm_GrayLevelVariance,78
sub_wout_original_firstorder_RootMeanSquared,63
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,28
sub_wout_original_glcm_JointAverage,86
sub_win_original_firstorder_Mean,31
sub_wout_original_firstorder_Variance,3
sub_wout_original_firstorder_InterquartileRange,77
sub_win_original_glcm_Idmn,6
sub_win_original_glcm_ClusterShade,58
sub_wout_original_firstorder_Median,57
sub_wout_original_glcm_SumEntropy,42
sub_win_original_firstorder_10Percentile,29
adc_original_glszm_SmallAreaEmphasis,81
sub_wout_original_glszm_GrayLevelVariance,54
t2w_original_glcm_Idmn,23
sub_win_original_glszm_GrayLevelVariance,32
t2w_original_firstorder_Skewness,7
sub_wout_original_glcm_InverseVariance,45
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,53
t2w_original_firstorder_10Percentile,50
adc_original_firstorder_Maximum,34
sub_win_original_firstorder_Range,8
sub_wout_original_glcm_SumSquares,15
t2w_original_glcm_ClusterProminence,68
sub_wout_original_firstorder_90Percentile,43
t2w_original_glcm_SumEntropy,30
sub_wout_original_glszm_ZoneEntropy,10
adc_original_glcm_MaximumProbability,61
t2w_original_glrlm_GrayLevelVariance,79
t2w_original_glszm_ZoneEntropy,25
sub_win_original_glcm_SumSquares,41
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,11
sub_win_original_firstorder_90Percentile,39
t2w_original_glcm_ClusterShade,62
adc_original_glrlm_LongRunEmphasis,85
adc_original_firstorder_Mean,87
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,60
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,12
adc_original_glcm_Correlation,38
t2w_original_glcm_InverseVariance,89
sub_win_original_glcm_Id,47
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,46
sub_wout_original_glcm_DifferenceVariance,82
adc_original_glszm_ZoneEntropy,56
t2w_original_glrlm_RunEntropy,73
sub_wout_original_firstorder_Uniformity,84
t2w_original_firstorder_Median,52
adc_original_glszm_SizeZoneNonUniformityNormalized,26
sub_wout_original_glcm_Imc1,21
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,88
adc_original_glcm_ClusterProminence,71
adc_original_glcm_DifferenceVariance,55
t2w_original_firstorder_90Percentile,22
t2w_original_glszm_SmallAreaEmphasis,59
adc_original_glcm_JointEntropy,74
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,72
t2w_original_glcm_ClusterTendency,1
sub_win_original_glcm_SumEntropy,35
sub_wout_original_glszm_ZoneVariance,2
adc_original_glcm_Idmn,20
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,4
adc_original_firstorder_Kurtosis,18
t2w_original_glcm_MaximumProbability,76
sub_win_original_glszm_ZoneEntropy,5
t2w_original_glszm_SizeZoneNonUniformityNormalized,48
t2w_original_glcm_JointEntropy,64
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,65
sub_win_original_glszm_SizeZoneNonUniformityNormalized,9
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,36
sub_win_original_glcm_MaximumProbability,66
sub_win_original_glcm_Imc1,80
sub_wout_original_glcm_JointEntropy,14
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,16
